ID	SMILES	compound_name	DT50_count	DT50_gmean	DT50_log_median	DT50_log_gmean	DT50_log_spread	DT50_log_std	DT50_log_bayesian_mean	DT50_log_bayesian_std	DT50_log_bayesian_mean_std	canonical_SMILES	cropped_canonical_SMILES	cropped_canonical_SMILES_no_stereo	pathway_name	compound_id	node_depth	acidity_std	CEC_log_std	OC_log_std	biomass_log_std	temperature_std	logDT50_mean	logDT50_std
1	ClC=CCCl	1,3-Dichloropropene	6	17.104550332586445	14.100000000000001	1.2331116613539739	0.4476879819655173	0.1760635729164567	1.23	0.32	0.14	ClC=CCCl	ClC=CCCl	ClC=CCCl	1,3-Dichloropropene	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/cac57bca-a6b8-407a-915f-8eb1fb46661a/structure/6901fa22-a039-46d1-816f-5c9d8fee2da2	0	0.7781745019952503	0.1642450262808888		0.07451876063356085	3.72677996249965	1.23	0.14
2	OCC=CCl	3-Chloroallyl alcohol	10	0.30280113630722716	0.4	-0.5188424994129406	0.7781512503836436	0.29789824502943796	-0.55	0.41	0.14	OCC=CCl	OCC=CCl	OCC=CCl	1,3-Dichloropropene	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/0bdb6cba-f7a9-4375-a0fb-b38eeef122d3/structure/b799ae3f-29f1-471f-8b55-10d39532425e	1	0.7828793010419934	0.1558410930772787		0.016893101477109096	3.0	-0.55	0.14
3	O=C([O-])C=CCl	3-Chloroacrylic acid	10	6.157492906094701	8.2	0.7894039201707914	1.6320232147054057	0.5027105195098202	0.79	0.52	0.17	O=C([O-])C=CCl	O=C([O-])C=CCl	O=C([O-])C=CCl	1,3-Dichloropropene	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/2f6e4dee-68b4-4c8f-b465-e2591f3a37a6/structure/f9cc45cd-767f-48e6-b10a-7d975dd5abf3	2	0.7828793010419934	0.1558410930772787		0.01002724157737002	3.0	0.79	0.17
4	NC(=O)Cc1cccc2ccccc12	1-naphthylacetamide	6	0.36928111115087126	0.4	-0.432642906085127	1.419894584560088	0.421683623026113	-0.42	0.48	0.22	NC(=O)Cc1cccc2ccccc12	NC(=O)Cc1cccc2ccccc12	NC(=O)Cc1cccc2ccccc12	1-naphthylacetamide	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1f07634f-4c6e-4736-af3c-056f147f94c7/structure/7913d066-2daa-4d3b-9f1d-452571fb79f3	0	0.8518297299865089	0.20900236808650977		0.02792900086028097	0.0	-0.42	0.22
5	O=C(O)c1cccc2ccccc12	1-naphthoic acid (M2)	12	1.6898062802071518	1.2	0.2278369198448516	1.1153934187020695	0.42198537361879507	-0.87	0.43	1.02	O=C(O)c1cccc2ccccc12	O=C(O)c1cccc2ccccc12	O=C(O)c1cccc2ccccc12	1-naphthylacetamide	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1bb450ac-b75a-4a43-b43c-a4d1e11f61c3/structure/0cc9c9a6-7743-4756-ae4e-50e9a831e447	2	0.6169121133156291	0.17859300495523792		0.02184761862386748	0.0	-0.87	1.02
6	O=C(O)Cc1cccc2ccccc12	2-(1-naphtyl)acetic acid (M1)	10	3.2585352636649008	2.8200000000000003	0.5130224252647807	1.5610231394398717	0.43648795304302357	0.52	0.45	0.15	O=C(O)Cc1cccc2ccccc12	O=C(O)Cc1cccc2ccccc12	O=C(O)Cc1cccc2ccccc12	1-naphthylacetamide	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c8dd8052-1273-4d54-8848-1edc13bedb21/structure/84ebf8d3-5c09-457d-9ea9-88e5898a238c	1	0.546517154351078	0.21331309274469396		0.0	1.5	0.52	0.15
7	O=C(O)COc1ccc(Cl)cc1Cl	2,4-D	43	6.3262372552456085	7.0	0.8011454753937726	1.8798479403044146	0.4294565897922914	0.6	0.59	0.18	O=C(O)COc1ccc(Cl)cc1Cl	O=C(O)COc1ccc(Cl)cc1Cl	O=C(O)COc1ccc(Cl)cc1Cl	2,4-D	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a441e53a-6e7b-45fc-851c-b7c93cd1f4a1/structure/384e53de-7f1b-4cf6-bcaf-8d2a6e3784c3	0	0.7991680368412561	0.23723899586761849			3.608114985695439	0.6	0.18
8	Oc1ccc(Cl)cc1Cl	2,4-Dichlorophenol	4	2.245992420508117	3.777	0.3514082863256818	1.4614720741597682	0.5678486859496136	0.37	0.59	0.33	Oc1ccc(Cl)cc1Cl	Oc1ccc(Cl)cc1Cl	Oc1ccc(Cl)cc1Cl	2,4-DB	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/ec701df9-090a-48ba-a5f3-43e947ecebe7/structure/96e61292-fa9c-49f3-9c76-f09a0e62ca74	3	0.8874119674649424	0.24094804000748685			0.0	0.37	0.33
9	O=C(O)CCCOc1ccc(Cl)cc1Cl	2,4-DB	5	2.5232813756934416	1.893	0.4019656821851858	1.4445524099062257	0.5000853873725288	0.43	0.54	0.26	O=C(O)CCCOc1ccc(Cl)cc1Cl	O=C(O)CCCOc1ccc(Cl)cc1Cl	O=C(O)CCCOc1ccc(Cl)cc1Cl	2,4-DB	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1a567571-d6aa-4f3e-849f-6c2be79b077e/structure/ff51abea-e07d-4088-8753-1bdc40aa5d09	0	0.8138795979750323	0.2912000281627246			2.0	0.43	0.26
10	O=C(O)COc1ccc2ccccc2c1	2-naphthyloxyacetic acid	28	31.318890579733775	35.985	1.4958063694895651	1.6424886483835706	0.40857877950156596	1.5	0.42	0.08	O=C(O)COc1ccc2ccccc2c1	O=C(O)COc1ccc2ccccc2c1	O=C(O)COc1ccc2ccccc2c1	2-naphthyloxyacetic acid	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/a7714bce-6f0e-47fb-8cab-fab3dc7a6005/structure/41e11b49-eb9b-42ba-942b-f4758f3ce4ed	0	0.964764695854563	0.15850754089546756			5.24890659167824	1.5	0.08
